,designation,d/au,d_error/au,t/yr,z,ra/deg,dec/deg,RUWE
91,Gaia DR3 6049152203067495808,203.04143407127222,133.4192275219689,-3873.869997908637,1.521830382639858,246.79294469999996,-24.32205111,1.2007198000000001
12,Gaia DR3 6049158177365995904,10380.055266123964,29.504612386863986,-1116.9004554489622,351.81127377715904,246.807185,-24.30480541,1.0513302
28,Gaia DR3 6049152130052048640,12786.131324960843,127.3305571129485,-2714.4437723346723,100.41683327921758,246.77151,-24.33559569,1.0833063
48,Gaia DR3 6049164327759169536,20173.365065255293,541.8997121578353,-10000.0,37.22711899020079,246.76297639999999,-24.27699601,1.1269014
103,Gaia DR3 6049164396478646400,22483.766446685102,617.4411884779859,-10000.0,36.41442596680078,246.75230640000004,-24.27386232,1.0952333
1,Gaia DR3 6049171096626943744,44142.20121521854,241.81644653411698,-10000.0,182.5442472912639,246.7365494,-24.23109462,0.92865425
743,Gaia DR3 6049171650679414528,51723.14792190533,198.67006651687274,-10000.0,260.34696030824836,246.78779680000002,-24.20033162,0.97481734
62,Gaia DR3 6049157558891237888,55366.350499221524,1096.0821956934465,-10000.0,50.51295488309022,246.9059241,-24.29871583,1.1338117
156,Gaia DR3 6049163679218606720,56903.40663249077,0.047939477535940044,0.0,1186984.2884672764,246.67892039999998,-24.3416486,1.1418153999999998
20,Gaia DR3 6049163679220111744,57117.62954332186,0.010183666829694146,0.0,5608748.842487154,246.67850130000002,-24.34178014,0.96804535
9,Gaia DR3 6049165500286247040,57680.694050566395,148.87665104027607,-10000.0,387.4394920057804,246.7103492,-24.23130176,1.053265
449,Gaia DR3 6049147701941768064,62985.581360874545,0.0230456393823366,0.0,2733080.22901504,246.8784995,-24.4157018,1.0458615
17,Gaia DR3 6049147667582029568,64160.116521176446,0.013359785451924226,0.0,4802481.054209998,246.86071370000002,-24.43189264,1.0363668
317,Gaia DR3 6049153921054413440,65708.66943523721,0.005140278845517065,0.0,12783094.343713084,246.91781569999998,-24.36793737,1.4433901000000002
4,Gaia DR3 6049164916170694912,71412.83081982906,206.5070083547823,-10000.0,345.81311011556903,246.6547244,-24.266751,0.9119054
2,Gaia DR3 6049167905467933056,73175.77413327545,291.74957329779187,-10000.0,250.81707337609083,246.6534525,-24.26452429,1.30062
178,Gaia DR3 6049174399459153024,76344.90384079296,425.21381605485783,-5037.074897481682,179.54473951275264,246.69345330000002,-24.20012361,15.4846115
3,Gaia DR3 6049174914854560640,79650.03724387854,71.88071176161394,-10000.0,1108.086373824885,246.7668929,-24.15896868,0.97883403
5,Gaia DR3 6049174605616916608,82005.96182445654,70.60286916917632,-10000.0,1161.5103293884063,246.6796236,-24.18608036,1.0068119
380,Gaia DR3 6049174674334897024,83540.83490646511,389.9832131337161,-10000.0,214.21648956418264,246.68094559999997,-24.17903172,1.0176825999999999
159,Gaia DR3 6049168008547148416,93154.6488547001,141.51824816248669,-10000.0,658.2518513636697,246.6003304,-24.27051227,0.9255744
6,Gaia DR3 6049168214705579776,94876.09737331935,272.8837588057044,-10000.0,347.6795313453299,246.6070335,-24.24118734,0.9331821
478,Gaia DR3 6049152615384353408,96746.47859974533,0.006164130273026876,0.0,15695073.64617041,246.9577611,-24.42795225,2.0815675
150,Gaia DR3 6049163060744821760,97098.93700907413,0.005399379426414671,0.0,17983351.296641577,246.5973395,-24.35000111,1.0107818000000002
16,Gaia DR3 6049175121012992256,97366.50281730972,112.94710955883482,-10000.0,862.0539578004068,246.777313,-24.11767795,0.95243335
31,Gaia DR3 6049173604889078912,98215.64018624778,1067.454191782555,-10000.0,92.00923181746681,246.8272037,-24.12285044,1.1691968000000001
135,Gaia DR3 6049146357616459136,101737.26769403968,0.06597723735056074,0.0,1542005.5731262749,246.920155,-24.48366744,1.10122
181,Gaia DR3 6049161514556593920,103643.92800982442,223.28166072579037,-10000.0,464.1846879538769,246.6001702,-24.4134723,1.2793905
7,Gaia DR3 6049145880875631744,108157.7161541842,0.011701939561124329,0.0,9242717.037567092,246.90491839999999,-24.50983772,1.0368772
33,Gaia DR3 6049165706444676992,108800.3057180711,62.931163165575086,-10000.0,1728.878035065266,246.5711127,-24.33945209,0.89114416
357,Gaia DR3 6049152374866183936,109367.98218837284,0.004809649094909131,0.0,22739285.139145717,246.98154350000002,-24.43845889,1.39924
681,Gaia DR3 6049145876579665280,110078.54311632068,0.03301147518959636,0.0,3334553.893278062,246.9088244,-24.51205818,1.247555
25,Gaia DR3 6049162545348745984,111304.40762585159,173.76884493815493,-10000.0,640.5314351111979,246.57020040000003,-24.37321825,0.93644416
57,Gaia DR3 6049176770280443648,112605.90029902372,116.76425983144502,-10000.0,964.3867092685374,246.8232395,-24.0872577,0.96870035
8,Gaia DR3 6049137943776073216,113191.16870144808,219.95837876854182,-10000.0,514.6026686283094,246.58970150000002,-24.43372372,1.1420726
15,Gaia DR3 6049144983226879232,117052.74071518626,0.053696020073110834,0.0,2179914.648344717,246.7136744,-24.54511207,1.0756299999999999
61,Gaia DR3 6049169138121857024,121192.83149202573,0.032768407613059325,0.0,3698465.696689096,246.57161230000003,-24.21090912,1.1298162
72,Gaia DR3 6049144021153793024,122211.13943838867,0.034816997401769315,0.0,3510099.909769307,246.78790759999998,-24.56908392,1.1172327
11,Gaia DR3 6049142032584969088,122832.27354072327,74.61383772662944,-10000.0,1646.2398568849492,246.5125187,-24.39350625,0.9349497999999999
10,Gaia DR3 6049173123852388224,125851.04827281965,302.9258704619665,-10000.0,415.45163534859176,246.9374305,-24.10803916,0.9592026
942,Gaia DR3 6049098906817732096,125939.59632010559,0.0622940198866151,0.0,2021696.4092112763,246.94284199999998,-24.52823989,1.1336163000000001
32,Gaia DR3 6049137600178735744,126984.71546150104,315.6168435301805,-10000.0,402.33820870006343,246.57861569999997,-24.47225991,1.1594079
857,Gaia DR3 6049097291910027008,128726.87201410104,0.05047546706378609,0.0,2550285.901295936,246.8793824,-24.567683,1.1482916
45,Gaia DR3 6049357433785068672,129413.91090309758,69.80268165622829,-10000.0,1853.9962624996135,246.5874116,-24.1478698,0.95363843
432,Gaia DR3 6049357429490158336,130472.57219600826,338.8357239134384,-10000.0,385.0614412467907,246.58737340000002,-24.14644903,1.0281138
77,Gaia DR3 6049363614242580608,132396.10099467932,394.6664660904016,-10000.0,335.46326422461465,246.65081969999997,-24.08607804,1.0838553
35,Gaia DR3 6049166805956306944,134714.4848103626,83.08747829374242,-10000.0,1621.357243917082,246.5137034,-24.29638643,1.0249708
13,Gaia DR3 6050675232830514048,135206.95422783558,59.95603608232148,-10000.0,2255.1016221651525,246.924465,-24.07434612,1.0771962
60,Gaia DR3 6050675438988944896,136079.71294849066,53.40317877104997,-10000.0,2548.157545675163,246.90973050000002,-24.06716089,1.037895
1233,Gaia DR3 6049155462947206400,136717.02219238266,1941.7238054765962,-10000.0,70.41012826168934,247.07390780000003,-24.28486849,1.1503174999999999
186,Gaia DR3 6049357811742191104,140947.784701989,90.34967354048959,-10000.0,1560.0253900067964,246.5782607,-24.12205481,1.1612793
107,Gaia DR3 6050660939179347840,141159.0583984529,644.8294786965722,-10000.0,218.90912723745996,247.0529858,-24.19337399,1.1586598
560,Gaia DR3 6049142341822614656,142977.65460022163,185.421803637169,-10000.0,771.0940773718202,246.4985389,-24.35632861,1.7106667000000002
455,Gaia DR3 6049107535407613184,146654.20594077007,0.014289422087701918,0.0,10263130.659915693,247.0835219,-24.38841418,1.0249603
158,Gaia DR3 6049107638486828928,147466.46028443874,0.012805677553825827,0.0,11515709.314450264,247.0896411,-24.36540415,0.9444165999999999
59,Gaia DR3 6049142410542091648,150088.4637882142,74.3281491049531,-10000.0,2019.268145319827,246.4839883,-24.34685144,1.4554906
26,Gaia DR3 6049120038056772736,155726.53556796536,0.039079816635642514,0.0,3984832.810754181,246.7751517,-24.63688028,1.0308785
184,Gaia DR3 6049096093613205376,156334.20555245623,0.013898179342657555,0.0,11248538.50983352,246.90963870000002,-24.61638827,0.94461596
68,Gaia DR3 6049104408671418752,158638.7389129539,0.016010435151079607,0.0,9908458.91545032,247.075367,-24.47676986,1.0308145
127,Gaia DR3 6050662794605222144,162986.99926682567,0.021644344766852553,0.0,7530234.849910252,247.04582969999998,-24.10559194,0.99776936
83,Gaia DR3 6050662790309050112,163139.2794763208,0.017168511904791222,0.0,9502237.606906017,247.0457999,-24.105078,2.532916
264,Gaia DR3 6049119831897974784,163157.85426597003,0.027154283241457824,0.0,6008549.473214179,246.7040637,-24.64043259,1.0446897
74,Gaia DR3 6049137325300811520,164892.23248884195,0.04783889466281689,0.0,3446823.628577806,246.50667990000002,-24.49595318,4.0918818
49,Gaia DR3 6049095612578393856,166408.06481498535,0.00780600924305604,0.0,21317943.603899304,246.89689500000003,-24.64273187,1.1049813
202,Gaia DR3 6049095784377084800,169393.30318792546,0.04130106145439299,0.0,4101427.3537492324,246.9109164,-24.64434045,1.1008018
925,Gaia DR3 6049366470396923904,169498.91405254035,0.04387880751674691,0.0,3862887.8870021463,246.73837630000003,-23.97950784,1.1048175
535,Gaia DR3 6049366917072861952,169807.6406053294,150.08668719647406,-10000.0,1131.3970864253884,246.6921846,-23.96957175,0.9535804
246,Gaia DR3 6050661420215685376,170964.9944029186,0.010355862042393612,0.0,16509006.561022364,247.1012489,-24.15896952,0.9502288000000001
64,Gaia DR3 6049107428032112384,171107.87232808903,0.005792155996762904,0.0,29541309.388717618,247.1361526,-24.379294100000003,1.3177054
358,Gaia DR3 6049095131542056064,171207.77626414347,0.02186611561279679,0.0,7829821.230980178,247.05744539999998,-24.54718557,1.107404
51,Gaia DR3 6049365336524897152,171587.2831022863,95.60793890482917,-10000.0,1794.697020642701,246.63742459999997,-24.00478509,1.0010608
14,Gaia DR3 6049365370884635904,171776.51410549608,301.48658825493055,-10000.0,569.7650270274894,246.6011143,-24.02110727,0.9820684999999999
318,Gaia DR3 6049123650124940160,172367.64790277815,0.01960944481773813,0.0,8790032.023082031,246.5413707,-24.56515438,0.9205652
795,Gaia DR3 6049095711361647360,173868.48360505697,0.038454063050484995,0.0,4521459.367682191,246.9278955,-24.64751712,1.0816355
40,Gaia DR3 6049095406419962112,174609.54682887872,0.005788385366550247,0.0,30165501.39144282,246.91425959999998,-24.65442588,1.0430734
224,Gaia DR3 6049123615765201536,174664.29789161103,54.10548008224688,-10000.0,3228.2182438100567,246.5388105,-24.5701712,1.2796786
22,Gaia DR3 6049135813472323072,175370.7015265849,0.004366186511977633,0.0,40165645.93507298,246.48962709999998,-24.50894226,1.0040136999999998
66,Gaia DR3 6050662725885745536,176071.1071449176,84.43188774025434,-10000.0,2085.3626734792606,247.0697012,-24.08745366,1.0312823
52,Gaia DR3 6049136569386567296,176659.12441343872,0.008807473153859805,0.0,20057866.919074204,246.4837075,-24.50426154,0.98846084
417,Gaia DR3 6050679321639383680,178809.1921974672,38.7262348146386,-10000.0,4617.262510887759,246.912519,-23.9719838,1.2878498999999999
23,Gaia DR3 6050675885665543552,180937.03580351145,106.79786103382659,-10000.0,1694.2009329775099,247.0033292,-24.01451049,1.5183415
331,Gaia DR3 6049142681124470912,181484.3649585566,613.9834875845812,-10000.0,295.58509085076275,246.4220264,-24.36030554,1.0217559
38,Gaia DR3 6049122310095142656,181955.7016830546,0.0037710930716474958,0.0,48250122.23937573,246.58121839999998,-24.62441695,1.0812768999999998
281,Gaia DR3 6049119698755044480,182537.49661823388,0.013469083797621885,0.0,13552332.093327899,246.67191880000001,-24.67175439,4.575264499999999
459,Gaia DR3 6050679390358863488,182612.19091987849,54.42896107071583,-10000.0,3355.0556050963924,246.908208,-23.95676054,0.9692627
355,Gaia DR3 6050679390358862464,183061.1253038481,39.35934201580699,-10000.0,4651.020975663909,246.9096764,-23.95914784,1.2397049999999998
