dist_arcsec,z_pc,dist_to_cq_tau,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot
0.0,149.37398703222786,0.00398703117720679,1636148068921376768,Gaia DR3 3416747570320423552,3416747570320423552,735633702,2016.0,83.99362556280738,0.04823712,24.748241562006847,0.037398573,6.6946060680849815,0.059953015,111.664215,26.532816,2.987246500775443,0.060685135,-26.36411782031564,0.042136043,-0.066926144,0.09710356,0.07606191,0.1795354,-0.428893,0.10851745,-0.43910652,0.21044384,0.35093313,-0.09878465,321,321,318,3,52.262787,8947.227,0.44809464,274.1527,31,false,1.4829913,,,,,,,,36,17,0.08490692,36,16,1,0.2658008,48.723038,1,0,3.699143,,,,,,,,,false,319,1525598.2651240104,52963.7,28.804602,10.228766,36,699098.9507679535,88579.62,7.892323,10.727196,36,1179132.8241642658,107361.445,10.982833,9.568989,1.2311444,0,0,0,0,0,1.1582069,0.4984293,0.65977764,33.061775,2.0297198,1,12,4,9,117.68908,4.5995326,1.4486331E-7,880.96893,17.475996,7250.0,4.5,0.0,555,83.01667,19.908136,6,9.14066,0.3019439,6,,NOT_AVAILABLE,182.41841387756548,-4.0404386906070915,84.54535957245072,1.4226176242379946,false,false,0,true,true,false,false,false,false,true,false,5.113537E-9,3.917121E-8,0.9998617,,,,,,,,,,,,,,,,,,,,,,
751.0382002513221,149.29477998174684,0.5489174668936718,1636148068921376768,Gaia DR3 3416734689712508928,3416734689712508928,701161241,2016.0,84.19939111490535,1.5209551,24.65562579390681,1.3918989,6.698157833262908,1.8946983,3.5352108,8.835054,7.984281127323939,2.0660124,-3.782782160501154,1.3887831,0.22307815,-0.097967245,0.038010005,-0.50046647,-0.6369107,-0.61958337,-0.82216656,0.23022291,0.66616464,0.3303092,181,0,180,1,-0.104863934,184.16618,0.0,0.0,95,false,,1.4694614,0.22636014,-0.31383282,-0.2202169,0.050944872,0.25421652,0.37111616,21,10,3.2245355,21,15,1,0.03606367,173.87933,0,0,0.99247247,0.40947327,0.6502519,0.29257572,0.40164134,-6.4171276,7.948335,1.6922604,20.473286,false,178,96.00187130220363,0.84703237,113.33908,20.731668,14,39.51411177652175,8.536808,4.6286755,21.346663,18,153.58536841948344,11.97473,12.82579,19.28202,2.0114138,0,0,0,0,0,2.064642,0.61499405,1.4496479,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,182.5971276902194,-3.9320931576911327,84.72840202303198,1.3224292238100177,false,false,0,false,false,false,false,false,false,false,false,5.22538E-10,4.9376964E-10,0.9999899,,,,,,,,,,,,,,,,,,,,,,
1676.2845111910979,148.42657642997244,1.534375080291764,1636148068921376768,Gaia DR3 3404714480706399616,3404714480706399616,217579572,2016.0,84.36124321493514,0.20061338,24.424100328907297,0.15750556,6.737337908429083,0.24365677,27.650936,74.04062,65.11823517903676,0.25288558,-35.23674987853349,0.15158986,-0.21610582,0.16130155,-0.057635725,0.10891285,-0.43418065,0.03660358,-0.7454041,0.18654849,0.43241668,-0.22020942,454,0,451,3,0.90316916,516.16406,0.49698842,1.1068146,31,false,1.2109077,,,,,,,,52,18,0.3557874,53,34,0,0.003493951,29.54589,1,0,1.0296375,0.41657606,0.60429263,0.30856606,0.35972646,-9.926871,8.925816,-0.1727393,23.801077,false,449,537.8474241630032,0.9227727,582.8601,18.86072,40,65.44148985282631,7.033739,9.303941,20.79891,46,780.5877060596465,8.667835,90.05567,17.516842,1.572991,0,1,0,1,0,3.2820683,1.9381905,1.3438778,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,182.87214795233803,-3.931187958317337,84.8663686926621,1.08524785844778,false,false,0,false,false,false,false,false,false,false,false,1.0206488E-13,5.989982E-11,0.99999577,2962.1982,2948.7139,2970.4219,5.0018,4.9917,5.016,0.1395,0.0888,0.1757,184.7044,175.2836,191.2108,0.7455,0.6205,0.8594,0.4307,0.3572,0.4974,0.3317,0.2774,0.3797,MARCS
2363.048871695031,150.25363157958446,1.9303985427042802,1636148068921376768,Gaia DR3 3428750427659893504,3428750427659893504,1719435421,2016.0,84.7096844513655,3.2466795,24.839313699687132,1.9026144,6.655413180281985,2.1831214,3.0485768,0.66442513,0.5924729833322628,2.996905,-0.30072666677900123,1.4761133,-0.8059611,0.3894939,0.24752499,0.46427685,-0.3837843,-0.02766116,-0.76777524,0.12907565,0.36344263,-0.4392489,173,0,171,2,-0.80004394,204.58499,2.3762374,1.0316094,95,false,,1.1194243,0.29192945,0.23668,-0.13905908,-0.28246656,0.03982231,0.08530859,20,9,4.3816066,21,15,0,0.054287504,133.84897,0,0,0.95429426,0.58471936,0.84363216,0.5032785,0.5979141,5.9458556,15.598415,8.313723,16.038414,false,171,92.8196092848219,1.0093993,91.9553,20.768267,14,45.91857716599702,11.621926,3.9510298,21.18357,19,99.8827843453923,12.311008,8.11329,19.749168,1.5708034,0,0,0,0,0,1.4344025,0.41530418,1.0190983,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,182.6888118036086,-3.442056600202681,85.19869222412731,1.4881618332432287,false,false,0,false,false,false,false,false,false,false,false,2.624153E-8,2.7400165E-10,0.9999918,,,,,,,,,,,,,,,,,,,,,,
2139.0980601286346,147.82700124015915,2.1807408397618264,1636148068921376768,Gaia DR3 3404683355078432128,3404683355078432128,684007006,2016.0,83.88463993257346,0.09595174,24.162388060360133,0.07167569,6.764664043853558,0.10842227,62.39183,16.020828,7.565793741452425,0.13565032,-14.121816504131221,0.09012443,-0.19183195,0.06325177,-0.11862471,0.17817186,-0.2572756,0.27284,-0.57552904,-0.24440654,0.33000585,-0.3460059,274,0,274,0,57.5382,4903.658,0.7894442,196.36803,31,false,1.3203664,,,,,,,,32,16,0.19940355,32,16,0,0.082713924,174.92606,45,0,4.3210664,0.0713047,0.45641503,0.102070674,0.3872621,-33.776463,5.8992796,-18.27504,41.92845,false,271,26602.916164172475,25.413336,1046.8093,14.625044,26,6860.644202073945,13.138059,522.19617,15.74763,27,30484.94864091782,16.425339,1855.9708,13.537682,1.4038157,0,0,0,0,0,2.2099485,1.1225863,1.0873623,34.925694,5.118761,2,13,1,12,8.487131,,,880.792,,3900.0,4.5,0.25,101,,,,12.952878,0.07016713,12,,NOT_AVAILABLE,182.8610353292895,-4.438212536115346,84.42160474489381,0.8414487595288941,false,false,0,true,true,false,false,false,false,true,false,1.1961469E-13,1.0257912E-12,0.9982583,3731.5715,3699.9272,3762.904,4.5545,4.5234,4.5749,-0.2638,-0.3084,-0.2221,156.7416,152.8043,160.9166,0.6928,0.6622,0.7215,0.4736,0.4523,0.4939,0.2742,0.2617,0.2857,PHOENIX
1451.820029761122,147.3179319837623,2.3024223800678714,1636148068921376768,Gaia DR3 3440758606465144832,3440758606465144832,1370613042,2016.0,84.39843976539676,0.55155087,24.914565633097503,0.34700367,6.788039898022884,0.66644,10.185523,11.483393,-9.101339002353031,0.68503624,7.002423802024496,0.3904558,0.004771228,-0.31986332,0.29110762,-0.2980356,-0.38844615,0.0994229,-0.695411,-0.0748814,0.57352847,-0.40484077,396,0,382,14,113.122604,84442.98,3.8358638,1716.81,95,false,,1.1210665,0.08880364,0.043745875,0.015975546,0.040998414,0.08258103,0.13649046,46,16,1.0104352,49,49,0,0.2151592,131.99954,68,0,7.260431,0.38856003,0.6761224,0.4482592,0.31782624,-2.2796524,6.750394,1.2362039,16.939636,false,301,6634.688385425157,23.542048,281.8229,16.132816,39,3577.1662863561323,9.460029,378.13483,16.454695,40,8198.125756785208,12.669051,647.09863,14.963609,1.7748071,0,1,0,0,0,1.491086,0.32187843,1.1692076,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,182.47439856335606,-3.64104259122517,84.91927048034154,1.57402355532145,false,false,0,true,false,false,false,false,false,true,false,9.581546E-11,2.3281246E-9,0.9999912,,,,,,,,,,,,,,,,,,,,,,
3246.3131034327384,148.9165541882845,2.3906720645119504,1636148068921376768,Gaia DR3 3441051591953460736,3441051591953460736,523641518,2016.0,83.59864205815582,0.017434858,25.57610340024,0.012420557,6.71517015318282,0.02028746,331.00104,51.299873,14.950858664297966,0.022524834,-49.07289270345498,0.015116891,-0.009303152,-0.06255233,-0.12548545,0.110151775,-0.24842408,0.17083415,-0.539239,0.07747113,0.29543203,-0.12932259,294,0,294,0,3.3659,354.0354,0.036688145,0.78082335,31,false,1.3475931,,,,,,,,34,16,0.031611945,34,16,0,0.047609244,175.5914,0,0,1.1420149,0.10141122,0.45703867,0.1838309,0.37073347,-43.86079,-2.8798633,-20.93698,44.054058,false,291,52701.75189438739,14.783656,3564.866,13.882804,31,15485.930288349366,17.69618,875.10016,14.863699,29,55036.245417857084,33.055122,1664.9839,12.896274,1.3381373,0,1,0,0,0,1.9674253,0.98089504,0.9865303,-34.845676,2.6742928,2,13,4,10,12.099848,,,918.32526,,3800.0,4.5,-0.25,101,,,,12.432617,0.044848364,9,,NOT_AVAILABLE,181.52602938957503,-3.896825939126364,84.2236270053134,2.2650882854302816,false,false,0,true,true,false,false,false,true,true,false,1.160294E-13,5.7956103E-13,0.99861324,4086.74,4039.9072,4099.658,4.5863,4.5718,4.5943,0.0902,-0.0178,0.1373,146.668,145.5675,147.5486,0.6867,0.6211,0.7094,0.4864,0.4389,0.5029,0.2695,0.2436,0.2785,PHOENIX
2156.1110161344386,147.28563771377478,2.5977761015502874,1636148068921376768,Gaia DR3 3404703455525290496,3404703455525290496,1274524513,2016.0,84.53141468287046,0.043498103,24.402534279913347,0.035904933,6.789528263056676,0.053558122,126.76935,144.53851,52.073742665455846,0.0558262,-134.8321499491903,0.034710076,0.01183136,-0.08875664,-0.20529549,-0.07900268,-0.38114703,-0.037453588,-0.80709517,0.22807154,0.46303207,-0.08895732,496,0,496,0,0.8450281,539.01886,0.051552102,0.26090577,31,false,1.2824017,,,,,,,,57,16,0.07857834,59,43,0,0.04234923,165.57257,0,0,1.0264019,0.39437577,0.61315715,0.40030238,0.33792698,-0.43808144,5.8126664,5.5054765,21.427706,false,494,5854.008431344493,3.3538284,1745.4705,16.268734,49,1249.9741441193191,10.931655,114.34446,17.59629,43,7426.450910615373,33.105614,224.32603,15.070942,1.482134,0,12,0,5,0,2.5253487,1.3275566,1.197792,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,182.97316355521116,-3.811526644977767,85.02040639771275,1.0577315746947333,false,false,0,true,false,false,false,false,true,true,false,1.0202512E-11,5.0961034E-11,1.0000273E-6,3456.1992,3453.91,3458.4104,4.9074,4.9025,4.912,-0.2412,-0.2483,-0.2337,148.0651,146.8869,149.21,0.6255,0.6157,0.6351,0.41,0.4035,0.4164,0.2573,0.2534,0.2612,MARCS
3611.2293390823083,149.12682875073978,2.6242580437309018,1636148068921376768,Gaia DR3 3416873022019896576,3416873022019896576,176740538,2016.0,82.8920858732405,0.044530097,24.677900534651453,0.033020336,6.705701505068982,0.05026265,133.41321,43.64977,37.05022500576282,0.059174865,-23.077763237627437,0.04003989,0.016089251,-0.020530377,-0.10400367,0.07783271,-0.2781759,0.10455704,-0.4950523,0.028540796,0.23416299,-0.047184207,274,274,274,0,44.081833,5346.9277,0.37373543,182.93701,31,true,1.4696757,,,,,,,,31,17,0.08217277,32,15,0,0.046682425,177.76018,0,0,3.4114606,,,,,,,,,false,270,274470.64318361966,60.311714,4550.8677,12.091127,31,122311.99123040972,78.985664,1548.534,12.619869,31,218169.25610678454,85.51303,2551.2983,11.400911,1.2405015,0,1,0,0,0,1.2189579,0.52874184,0.69021606,38.42646,0.5725044,1,17,3,14,37.54805,0.36686346,0.3698209,918.0742,7.303734,4500.0,3.0,-1.0,111,15.169343,10.867231,12,11.117507,0.010584388,14,,NOT_AVAILABLE,181.93623871313088,-4.920881157575776,83.54224311625313,1.397816152723876,false,false,0,true,true,false,false,false,false,true,false,1.04659106E-13,5.22767E-13,0.999739,,,,,,,,,,,,,,,,,,,,,,
2950.455727733195,150.93484459610627,2.6573731560514466,1636148068921376768,Gaia DR3 3417008708626959488,3417008708626959488,518070396,2016.0,83.2419050123526,0.078500316,25.203613692447973,0.057515148,6.625375357664743,0.072551355,91.31981,68.90929,32.24579568393456,0.1018502,-60.89907987888419,0.066919364,-0.5371732,0.117104106,-0.503344,0.6054181,-0.2122157,0.5299162,-0.73841625,0.25729752,0.12501058,-0.5041943,255,0,255,0,-0.089624435,261.8625,0.0,0.0,31,false,1.2478851,,,,,,,,29,15,0.1641178,29,15,0,0.04174174,165.95018,0,0,0.9946633,0.15350272,0.47020447,0.25038025,0.32308304,-81.80357,4.146801,-32.33494,38.36355,false,250,4383.618281489474,3.8068798,1151.499,16.582785,26,682.4751770613414,12.56133,54.331444,18.253325,25,5733.273473182113,13.436309,426.70004,15.351889,1.4635737,0,0,0,0,0,2.9014359,1.6705399,1.230896,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,181.66567971080786,-4.369278758229563,83.88446835357217,1.907685561742377,false,false,0,true,false,false,false,false,true,true,false,1.7308995E-13,8.645757E-13,0.99296397,3392.7058,3388.0972,3397.5293,4.85,4.8383,4.8604,-0.0552,-0.0857,-0.0307,151.61,149.9216,153.3187,1.1816,1.1634,1.2039,0.7513,0.7395,0.7659,0.4875,0.4804,0.4963,MARCS
