dist_arcsec,z_pc,dist_to_dr_tau,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot
0.0,192.9661447375897,0.0038552626016737906,1636148068921376768,Gaia DR3 3406081865148861440,3406081865148861440,874628820,2016.0,71.77592068126691,0.033296168,16.978497681334044,0.014929142,5.182256200225575,0.03290131,157.50912,14.832769,5.207115713644065,0.04237832,-13.888735818673622,0.026108105,-0.24956706,-0.13016716,-0.43925288,0.2695596,-0.004406112,0.21818148,-0.29222077,0.33920106,0.019709798,-0.16465826,397,397,392,5,21.599146,2942.0508,0.22526953,76.251564,31,true,1.4071169,,,,,,,,45,17,0.06218461,45,13,0,0.092064515,69.232025,0,0,1.8684415,,,,,,,,,false,395,411513.9210930188,4538.7153,90.66749,11.651405,43,157253.72568147312,6361.19,24.720804,12.34704,41,406385.23059531255,11884.647,34.194134,10.725551,1.3696717,0,1,0,0,0,1.6214895,0.69563484,0.9258547,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,182.29883689607536,-17.836969228656923,72.51731592725325,-5.361571869226458,false,false,0,false,false,false,true,false,true,true,false,3.2904926E-10,1.4289968E-9,0.9999485,6011.4014,6003.015,6019.2114,4.0866,4.0842,4.089,-4.1373,-4.1475,-4.1171,186.9769,186.1133,187.7322,2.0422,2.0327,2.0517,1.6252,1.6177,1.6327,0.9088,0.9046,0.913,MARCS
1823.8450925519523,192.05565588014284,1.9322612721012062,1636148068921376768,Gaia DR3 3406301831897571328,3406301831897571328,1606366117,2016.0,71.59744766408573,0.18865584,17.455578135738406,0.09856331,5.2068240084742685,0.21427172,24.300098,69.763466,35.0613332902638,0.28536308,-60.312882369016236,0.19288062,0.064945675,-0.10352623,0.21664663,-0.06066121,-0.067553714,0.009904757,0.03187889,-0.24042599,0.2557527,-0.12150744,377,0,376,1,-1.3395782,430.2179,0.41105038,0.9589483,95,false,,1.1296135,0.03957109,-0.12131274,0.03909836,0.01453137,0.020071693,0.032794055,43,18,0.40177584,43,9,0,0.021482028,0.6426487,0,0,0.9502767,0.16602874,0.56627667,0.1967467,0.20609887,-17.69505,1.1532775,-7.6626086,28.66594,false,372,628.9001485079576,1.1760274,534.76654,18.690912,33,83.48377255773472,8.01508,10.415837,20.534536,38,902.9423964855707,9.28931,97.20231,17.358746,1.5684941,0,1,0,1,0,3.1757908,1.8436241,1.3321667,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,181.79076906999148,-17.68677789695939,72.40761828930977,-4.866870307801321,false,false,0,false,false,false,false,false,false,false,false,1.0211793E-13,5.1007397E-13,0.9999905,3222.1187,3211.7979,3233.0332,4.9958,4.9813,5.0098,-0.1818,-0.2255,-0.1427,194.1645,186.0012,201.3517,1.841,1.7717,1.9164,1.1178,1.0747,1.1646,0.7573,0.7308,0.7852,MARCS
2144.3550687242114,193.63561395765743,2.1169524538446756,1636148068921376768,Gaia DR3 3405933740316680448,3405933740316680448,87682243,2016.0,71.59462880952914,0.50864404,16.40871748505773,0.2727363,5.16433924297971,0.61476326,8.400533,16.917341,-3.0891215363923017,0.61534476,-16.632912255947563,0.4764178,0.21484312,0.39934283,0.14149506,0.31143025,0.09295587,0.16766207,0.07091767,0.33101523,0.39945936,0.1896663,358,0,355,3,2.2576597,432.22018,1.7457292,3.053069,95,false,,1.3543524,0.11634026,0.09818552,0.2285854,0.14244862,0.107612126,0.1355694,42,18,0.90733004,43,9,0,0.046571936,175.07219,0,0,1.0856776,0.2870659,0.53908575,0.14909177,0.2330054,-15.134279,-2.7736776,-8.212228,28.780497,false,349,194.60211899910885,0.7658093,254.11302,19.964499,24,30.013590132280452,5.614798,5.345444,21.645247,37,309.3039087548801,7.746417,39.928642,18.521933,1.7436475,0,1,0,2,0,3.123314,1.680748,1.4425659,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,182.66958300891415,-18.317163632329716,72.27229010881567,-5.905028600088396,false,false,0,false,false,false,false,false,false,false,false,1.6825166E-11,8.856868E-13,0.99999666,,,,,,,,,,,,,,,,,,,,,,
1198.776729897792,191.12763263256934,2.1540865888750105,1636148068921376768,Gaia DR3 3405968198838494080,3405968198838494080,553774119,2016.0,71.90531505884022,0.015129035,16.669395101571,0.0072428584,5.232105824919812,0.016543439,316.2647,4.362107,-4.116577457088245,0.018521523,1.4428319430354768,0.013214685,-0.12302253,0.24749121,-0.17775078,0.2689654,-0.035791352,0.15680875,-0.21921216,0.24957626,0.19698979,-0.015284795,367,349,366,1,-0.11518488,506.37692,0.053820986,3.7046342,31,true,1.4446367,,,,,,,,42,19,0.026008224,42,11,0,0.040326644,179.51164,0,0,0.9947944,,,,,,,,,false,365,152104.65812394855,33.71282,4511.7754,12.732011,41,63098.12425751388,37.770996,1670.5443,13.338501,40,126576.4494009229,48.307037,2620.2485,11.992013,1.2470005,0,1,0,0,0,1.346488,0.60649014,0.73999786,-13.4068,1.0916961,1,24,5,16,28.233547,4.6087384,6.5890765E-7,915.6395,18.666784,4500.0,2.5,-0.25,111,13.3356695,7.1064653,11,11.666614,0.030804576,19,27.406458,NOT_AVAILABLE,182.63696791878218,-17.92258082256124,72.6021024803438,-5.6836937973918245,false,false,2,true,true,true,false,false,true,true,false,1.0253985E-13,5.1218144E-13,0.99994874,4948.013,4936.715,4957.137,4.5311,4.5274,4.5344,0.1515,0.1391,0.1642,190.9697,190.2791,191.6818,0.6135,0.6033,0.6222,0.4783,0.4703,0.4852,0.2524,0.2482,0.2561,MARCS
402.49141863535107,195.15602146425348,2.21857725520093,1636148068921376768,Gaia DR3 3406084064172108672,3406084064172108672,842598492,2016.0,71.8591408436579,0.12598011,17.057031526098285,0.06090294,5.124105279955038,0.14133744,36.25441,11.842792,5.557035833849847,0.17206718,-10.4580619644327,0.11508685,-0.08344344,0.054290786,0.0027346006,0.10444958,0.0724313,0.10462312,-0.066146724,0.22483596,0.15938768,-0.14000435,405,0,404,1,0.4402378,565.1895,0.51703185,4.2128997,95,false,,1.1727494,0.023296334,-0.06791377,0.058088675,-0.014882077,-0.027514258,0.19398855,46,18,0.24074738,46,10,0,0.01758535,157.12207,0,0,1.0148026,0.2845514,0.6221407,0.22794458,0.19877338,-3.862383,3.1423655,-1.4446378,22.994888,false,398,1403.147892002274,1.8607916,754.0597,17.819609,41,157.35751717820423,8.146134,19.316833,19.846323,39,1945.3798755789028,7.47039,260.4121,16.525385,1.4985857,0,1,0,2,0,3.320938,2.0267143,1.2942238,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,182.28284596153844,-17.726207829555655,72.60644671220221,-5.2935708271096065,false,false,0,false,false,false,false,false,true,true,false,8.86852E-12,1.095529E-11,0.99996144,3284.9993,3279.6926,3291.2124,4.9084,4.8922,4.9212,-0.0535,-0.0825,-0.0201,184.4926,180.8673,188.6368,1.6655,1.6299,1.7045,1.0259,1.0035,1.0505,0.6871,0.6732,0.702,MARCS
662.8435578845406,190.82158247288314,2.2351655308760106,1636148068921376768,Gaia DR3 3406274107884758528,3406274107884758528,1515137660,2016.0,71.6090202725516,0.022707367,17.070331244946516,0.010547121,5.240497364296336,0.024113804,217.32355,16.774046,-16.739608508174943,0.027900616,-1.0742951132301743,0.018605452,-0.21486785,0.038927294,-0.28293625,0.36651623,0.07127293,0.28085437,-0.19669685,0.35546565,0.095945254,-0.19710855,398,398,389,9,3.0976324,1716.181,0.14247271,33.870827,31,true,1.5071654,,,,,,,,45,17,0.040632397,46,11,0,0.020675436,145.15797,0,0,1.1129336,,,,,,,,,false,380,506097.2343578236,205.64679,2461.0024,11.426782,46,245307.3438861292,189.07693,1297.3943,11.864265,46,373195.0260510398,189.67096,1967.5918,10.818056,1.2221018,0,0,0,0,0,1.0462093,0.4374838,0.60872555,1.6716709,0.4573402,1,25,3,13,59.790928,1.100238,0.09312019,915.8161,6.1965556,5500.0,4.0,-0.25,444,7.879674,5.753069,18,10.56741,0.0076647745,19,66.72143,VARIABLE,182.12105548396178,-17.909579801881634,72.36988264222938,-5.2504382875297075,false,false,0,true,true,true,true,false,true,true,false,1.02836E-13,5.136607E-13,0.9999194,5731.007,5728.3994,5734.708,4.3256,4.3221,4.329,-0.2234,-0.2274,-0.219,186.2708,185.3377,187.1932,0.5735,0.5717,0.5759,0.4725,0.471,0.4745,0.2546,0.2538,0.2558,MARCS
2277.064109771232,193.7422420144416,2.269941195250394,1636148068921376768,Gaia DR3 3406114163302886400,3406114163302886400,1634678700,2016.0,72.36221928159081,0.020149603,17.271992520188984,0.010374672,5.161496995195606,0.022211703,232.37737,30.828787,14.614710075304385,0.02558285,-27.14450902101084,0.018856263,0.050686903,0.23139594,0.008551384,0.25470078,-0.03743721,0.15653269,-0.071219966,0.21932799,0.12338089,0.042177502,444,0,444,0,1.3458359,465.4109,0.0,0.0,31,false,1.3413231,,,,,,,,51,19,0.035653267,51,11,0,0.042908683,168.40988,0,0,1.0449913,0.27442098,0.55750674,0.17281526,0.19857708,-16.991827,-2.8368282,-8.925744,25.394646,false,430,29343.664363874585,6.965487,4212.7227,14.518581,46,8364.862199925848,19.633108,426.059,15.532395,47,30787.15369715176,17.577229,1751.5363,13.526972,1.3342578,0,5,0,1,0,2.0054235,1.013814,0.9916096,-17.684578,2.5065064,2,23,3,15,7.768441,,,883.83496,,4000.0,3.5,0.0,111,,,,13.044268,0.04931055,22,,NOT_AVAILABLE,182.40324353928875,-17.21233610495867,73.11195521026269,-5.1392110889742835,false,false,0,true,true,false,false,false,true,true,false,1.0525818E-13,5.920791E-13,0.9996796,4362.862,4357.079,4369.41,4.659,4.6563,4.6646,0.1429,0.1134,0.1908,184.4226,181.7302,186.5551,1.4048,1.3924,1.421,1.0071,0.9981,1.0191,0.5403,0.5356,0.5464,PHOENIX
2312.2715974832304,192.089231526141,2.3310784906943725,1636148068921376768,Gaia DR3 3406328598133550336,3406328598133550336,1599748119,2016.0,71.77146007723137,0.014175748,17.620781228079515,0.007279679,5.205913897697656,0.015588832,333.9515,58.312397,33.81100920738765,0.018093165,-47.50948500364733,0.013064676,-0.108650096,0.25710613,-0.011332938,0.21848853,-0.13692898,0.11013141,-0.17058845,0.13543521,0.24322453,-0.06775418,433,433,427,6,3.4306662,925.4515,0.083327055,11.344124,31,true,1.4674975,,,,,,,,49,19,0.02512446,50,11,0,0.032663986,173.48541,0,0,1.1195626,,,,,,,,,false,420,286459.1164220913,59.152332,4842.736,12.04471,47,126642.24118481262,120.50934,1050.8915,12.582096,47,231044.00804750627,254.1061,909.2423,11.338658,1.2486467,0,38,0,38,0,1.2434378,0.53738594,0.7060518,65.58048,0.56763333,1,16,15,12,32.946136,-1.1796546,0.86041325,884.2612,7.007675,5250.0,4.5,0.25,444,,,,,,,32.94452,NOT_AVAILABLE,181.7570790660244,-17.454848753191722,72.59360551938295,-4.723785684770102,false,false,0,true,true,true,false,false,true,true,false,1.0294075E-13,5.1418386E-13,0.9999091,5407.146,5402.983,5417.156,4.4071,4.4046,4.4104,0.0875,0.0825,0.0967,188.8229,188.2098,189.4404,0.7653,0.762,0.7714,0.6127,0.6099,0.6177,0.3266,0.325,0.3292,MARCS
1463.5822009660558,191.05065189631497,2.353737193316307,1636148068921376768,Gaia DR3 3406061043147574784,3406061043147574784,1216625541,2016.0,72.15271555964279,0.33154097,16.790652290493743,0.15111206,5.234214016410212,0.35612276,14.69778,3.4195492,-3.4126388262135503,0.4951442,0.21728438984403137,0.30217925,-0.20887071,-0.1614169,-0.18122417,0.28400907,0.21056461,0.2725298,-0.16176927,0.196846,0.058580097,-0.3167474,352,0,338,14,144.6181,35285.36,2.3058884,959.1907,31,false,1.3044217,,,,,,,,40,16,0.7104795,50,9,0,0.039443698,65.52356,98,2,10.304119,0.2040139,0.64799964,0.26613456,0.21717338,7.7285266,4.704327,0.34485734,21.125355,false,333,14867.06780491671,22.82849,651.2506,15.2568035,38,5086.017146471895,12.595283,403.80334,16.072598,36,25510.086915723343,19.921188,1280.5504,13.731115,2.0579784,0,38,0,36,0,2.3414822,0.815794,1.5256882,-7.1331067,3.8249702,2,14,4,10,5.81397,,,883.8342,,4000.0,3.5,1.0,111,,,,13.187972,0.15130392,12,,NOT_AVAILABLE,182.68318682565248,-17.66008962082013,72.85339199753298,-5.592581408071959,false,false,0,true,false,false,false,false,false,true,false,1.1192878E-13,5.6801357E-13,0.9990192,,,,,,,,,,,,,,,,,,,,,,
203.98314633833024,195.38141760094445,2.419051071838339,1636148068921376768,Gaia DR3 3406269842981827712,3406269842981827712,1421078767,2016.0,71.72109581024823,0.018629063,16.9999787214251,0.008300005,5.118194003702254,0.018306088,279.58972,14.1718025,4.905714389771368,0.024382062,-13.295636698970828,0.015675671,-0.24490128,-0.13826478,-0.30330268,0.31811583,0.007258059,0.24753085,-0.25185466,0.16057475,-0.06353889,-0.2434704,387,387,386,1,1.3456758,796.0191,0.09261687,11.684976,31,true,1.2979141,,,,,,,,44,17,0.035280164,44,11,0,0.012015531,48.10066,3,0,1.0482538,,,,,,,,,false,374,196096.31212967803,565.3651,346.84897,12.456193,39,45537.1530438083,429.89255,105.92683,13.692628,38,230385.34204591461,1853.2238,124.31599,11.341759,1.4070764,0,2,0,1,0,2.3508692,1.2364349,1.1144342,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,182.24775876185603,-17.866068712652712,72.46776782137745,-5.333699124048529,false,false,0,false,false,false,true,false,true,true,false,1.05872525E-13,6.2213473E-10,0.99961895,8147.8975,8125.719,8171.078,4.1165,4.1133,4.1193,-1.4744,-1.4916,-1.4537,195.7643,195.1077,196.4647,5.0866,5.078,5.0953,3.942,3.9342,3.9502,2.1983,2.1941,2.2026,A
