dist_arcsec,z_pc,dist_to_mwc758,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot
0.0,155.86706821868586,0.0029317816064897088,1636148068921376768,Gaia DR3 3417062653416093184,3417062653416093184,917218087,2016.0,82.61472046369643,0.026054882,25.332403978827056,0.019342827,6.415723420145248,0.0313807,204.44806,26.628948,3.684517831002409,0.03317048,-26.372811870937085,0.022401074,-0.14854059,0.13993631,-0.010446523,0.18294287,-0.42466992,0.09184099,-0.55132264,0.116809644,0.36752945,-0.06481501,256,256,256,0,-0.1856819,663.2714,0.14520393,11.658057,31,true,1.650648,,,,,,,,29,17,0.04604703,30,13,1,0.05720091,4.948824,0,0,0.9904,,,,,,,,,true,254,9700184.190156182,7433.9473,1304.8497,8.220417,27,6202167.567331917,16357.471,379.1642,8.357183,26,5322748.093054599,11668.575,456.16092,7.9325557,1.1881131,0,0,0,0,0,0.42462778,0.13676643,0.28786135,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,181.24793786931264,-4.775328513939475,83.3239479902916,2.06411238721277,false,false,0,true,true,false,false,false,true,true,false,1.05455216E-13,5.2674347E-13,0.9996608,10824.804,10781.036,10867.9375,4.223,4.2167,4.2305,-0.9903,-0.9984,-0.9054,160.9548,159.8632,162.0796,0.9817,0.9783,0.9861,0.9202,0.9168,0.9245,0.4935,0.4916,0.4958,A
617.6494019174987,155.48900012251354,0.6020621975945004,1636148068921376768,Gaia DR3 3417060347017816576,3417060347017816576,366258238,2016.0,82.42539243322958,0.194318,25.320148853235597,0.13571222,6.4313231110372815,0.20819417,30.890985,25.792685,2.7699662406160073,0.28279322,-25.643514729017536,0.1876586,-0.14160393,-0.13979785,0.08502394,-0.015000939,-0.09004346,0.104149364,-0.4453479,0.031707443,0.20317116,-0.3215788,242,0,240,2,-0.022333445,282.6684,0.63722855,2.1619372,31,false,1.1685711,,,,,,,,28,13,0.40590274,28,11,0,0.030699426,170.41945,0,0,0.9975524,0.03168705,0.451277,0.089754365,0.4481706,-95.7914,10.643567,-22.567698,40.718052,false,236,806.2472559283382,2.4123192,334.2208,18.421196,21,63.769435193848395,7.7033606,8.2781315,20.827011,24,1283.3289310296466,11.8638935,108.170975,16.97705,1.6708254,0,0,0,0,0,3.8499603,2.4058151,1.4441452,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,181.16438893597,-4.925346852513617,83.15230064782422,2.0607410014641494,false,false,0,false,false,false,true,false,true,false,false,1.2129569E-13,5.3430594E-13,0.99999875,2668.413,2661.9067,2677.0098,4.6533,4.6346,4.6822,0.5798,0.5746,0.5806,151.2707,146.9376,154.4936,0.0941,0.0268,0.18,0.0514,0.0146,0.0984,0.0465,0.0132,0.0884,MARCS
1813.360238193185,156.31389434943665,1.4422725853018041,1636148068921376768,Gaia DR3 3417713560002856064,3417713560002856064,1005841697,2016.0,82.08643199503389,0.11063305,25.17293595968256,0.08043736,6.397383957209329,0.12477891,51.269753,40.0982,37.53723444372786,0.13515648,-14.100414825276484,0.09253792,-0.05734369,0.1168006,-0.01408792,0.14567903,-0.32576236,0.13882324,-0.44772285,-0.030811103,0.22257683,-0.048256807,267,0,267,0,-0.12318029,283.81628,0.22889297,0.6747816,31,false,1.2221903,,,,,,,,32,17,0.18762481,32,15,0,0.03845245,170.3537,0,0,0.99335396,0.20201404,0.4059055,0.271445,0.40598136,-59.719685,-3.4426742,-32.97293,43.249107,false,259,1466.616843581709,2.2022948,665.94934,17.771576,28,167.38017711250143,7.9319253,21.102087,19.779282,27,2007.821566249995,10.864664,184.80292,16.491083,1.4831425,0,0,0,0,0,3.2881985,2.0077057,1.2804928,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,181.1192741293385,-5.26246031552393,82.83807285336374,1.9301828361500426,false,false,0,false,false,false,false,false,false,true,false,1.0304299E-13,1.5940658E-12,0.99990124,,,,,,,,,,,,,,,,,,,,,,
2030.3917529153393,154.60522395887895,1.9836051029260013,1636148068921376768,Gaia DR3 3417707203451159424,3417707203451159424,663036606,2016.0,82.04240847359347,0.013794384,25.10874512332747,0.009929121,6.468086746318317,0.014811574,436.6914,31.01613,14.334240125699342,0.017904427,-27.505087957829602,0.011809803,-0.13828978,0.14941338,-0.093541585,0.24207832,-0.22584055,0.21004519,-0.41949368,0.13651018,0.0104990555,-0.08778431,269,170,269,0,-2.249583,366.31223,0.044215936,1.9607224,31,true,1.4061868,,,,,,,,32,17,0.025057215,32,14,0,0.061183345,170.6153,0,0,0.90249425,,,,,,,,,false,263,127953.61568290624,213.51056,599.2847,12.919736,30,46987.826882573754,301.69714,155.74501,13.658579,30,116651.89381564612,526.2388,221.67104,12.080666,1.2788987,0,0,0,0,0,1.5779133,0.73884296,0.8390703,13.063155,8.290864,1,13,3,9,19.169865,17.672436,0.0028825935,528.72144,16.400335,4250.0,3.0,-0.25,111,,,,11.738141,0.033449557,10,,VARIABLE,181.15115270596013,-5.331025190173496,82.7947291495534,1.8682787790982787,false,false,0,true,true,false,true,false,true,true,false,1.3750302E-13,6.868207E-13,0.99648726,4323.3926,4273.7803,4329.0854,4.4845,4.476,4.4884,-0.136,-0.2043,-0.1239,154.4334,153.9389,154.8706,0.3074,0.2633,0.3187,0.2278,0.1947,0.2363,0.1213,0.1039,0.1258,PHOENIX
735.51812582492,157.81103042247156,2.0199942830088014,1636148068921376768,Gaia DR3 3417051795737752448,3417051795737752448,53994342,2016.0,82.84076410182716,1.5281454,25.333727944835477,1.1841041,6.336692671753854,1.7932332,3.5336692,3.4339697,1.2288945004567071,2.1680787,3.206550652503366,1.7688386,0.14701869,-0.04350735,-0.4997793,-0.14235641,-0.43861055,-0.30510524,-0.72064215,0.3520438,0.5588849,0.52865577,105,0,105,0,1.2345289,152.30841,3.8365402,3.1636603,95,false,,1.1635222,0.2818678,-0.23801304,-0.29695866,0.17485906,0.39097485,0.4345657,12,11,3.5632184,12,6,0,0.11841725,165.51471,0,0,1.0855426,0.17017539,0.46074593,0.1797508,0.4421377,-45.74582,-12.0958805,-40.582973,44.695393,false,102,95.39856259542869,1.1610045,82.16898,20.738512,5,55.00643358147741,17.355173,3.1694546,20.987509,8,107.99550699077955,13.449892,8.02947,19.664381,1.7086415,0,0,0,0,0,1.3231277,0.24899673,1.074131,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,181.3585502631759,-4.603312530700709,83.5281934552798,2.0551407494997416,false,false,0,false,false,false,false,false,false,false,false,7.632756E-6,4.932699E-9,0.99998766,,,,,,,,,,,,,,,,,,,,,,
2484.7822182606756,154.67026570980354,2.22214578684146,1636148068921376768,Gaia DR3 3441120032254401408,3441120032254401408,874699253,2016.0,83.13558367950229,0.09781095,25.838072405194428,0.072985515,6.465366794392314,0.11324019,57.09428,11.049901,-10.84918084280267,0.13377951,-2.096567877279288,0.09205913,0.04345366,-0.020428857,-0.05712857,-0.030963887,-0.24910766,-0.02531969,-0.4930898,0.07246874,0.31753826,0.015606101,267,0,266,1,0.50079894,291.86017,0.1408424,0.3156801,31,false,1.2381068,,,,,,,,31,17,0.18517043,31,13,0,0.035634253,1.4894724,0,0,1.0207131,0.20387462,0.40629178,0.1968575,0.444019,-35.261066,-2.2239945,-26.250349,42.614277,false,264,1716.519287422965,2.241957,765.63434,17.600744,29,223.5375742530278,8.425472,26.531162,19.465166,27,2311.7076957906315,11.936868,193.66116,16.338062,1.4769686,0,3,0,1,0,3.1271038,1.8644218,1.262682,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,181.07890070529743,-4.106002017382113,83.81853224647422,2.5459665688469024,false,false,0,true,false,false,false,false,true,true,false,4.033209E-12,1.26393574E-11,0.9992449,3222.0283,3216.9858,3227.2488,4.9828,4.9748,4.9889,-0.1407,-0.1571,-0.1257,153.6394,151.2969,156.1816,1.0024,0.9697,1.0384,0.6192,0.5985,0.6417,0.4205,0.4071,0.4349,MARCS
2738.913821276401,155.0274389934111,2.229464799749744,1636148068921376768,Gaia DR3 3417916351180498304,3417916351180498304,1156866010,2016.0,82.27185681822472,0.4095349,26.027639892257152,0.2825631,6.450471003668593,0.46527004,13.86393,22.633015,2.873270250956777,0.42570177,-22.44989300100846,0.30117255,-0.45804897,0.55539006,-0.012421166,0.4129329,-0.5166631,0.10455675,-0.503754,0.2740251,0.2715698,-0.03528516,199,0,197,2,2.2592165,250.2542,0.80719674,1.234956,31,false,1.6914685,,,,,,,,23,13,0.59877366,23,9,0,0.0682862,169.31804,0,0,1.1156768,0.27520818,0.4287686,0.40405467,0.48786607,-75.500046,13.478818,-40.432003,37.78809,false,193,356.32279276749165,1.2846041,277.37946,19.307758,21,247.68060110048836,8.50672,29.115877,19.353813,21,162.26066564541833,8.248422,19.671722,19.222363,1.1504773,0,1,0,0,0,0.13145065,0.04605484,0.08539581,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,180.49441194445623,-4.653404977659521,83.05153183194929,2.7745724949045383,false,false,0,false,false,false,false,false,false,false,false,3.0876643E-5,3.9122514E-9,0.99995023,,,,,,,,,,,,,,,,,,,,,,
2944.0663102554167,154.73577762355828,2.489971632421434,1636148068921376768,Gaia DR3 3417887763876755584,3417887763876755584,719477846,2016.0,81.92342122537323,0.3137515,25.861652722083807,0.21258426,6.462629492403518,0.10493409,61.587513,24.469105,2.624135912451132,0.38450408,-24.32798807386848,0.27130026,-0.9413646,-0.0038442274,-0.68721616,0.7454103,-0.12509838,0.75532097,-0.80515385,-0.07383319,0.14248906,-0.95007026,132,0,131,1,43.983315,2686.5303,0.5343284,84.4926,31,false,1.2854347,,,,,,,,15,9,0.7087363,15,6,8,0.10584309,10.780796,100,0,4.7996135,0.43034196,0.8977357,0.2836932,0.6492317,-157.99284,29.252237,-38.639874,31.028414,true,131,46641.8635819829,146.024,319.41232,14.015428,15,15187.114210399512,124.64678,121.84121,14.884854,15,90115.46423675361,482.60715,186.72633,12.360897,2.2576838,0,15,0,15,0,2.5239573,0.8694267,1.6545305,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,180.46058963784975,-5.006370538399283,82.72923712310386,2.6259883515825755,false,false,0,false,false,false,false,false,false,true,false,1.3750302E-13,6.868207E-13,0.99648726,,,,,,,,,,,,,,,,,,,,,,
2412.910697199542,154.05381379426623,2.5660265591663145,1636148068921376768,Gaia DR3 3417737611819848704,3417737611819848704,1089285362,2016.0,81.89015162449559,0.13319246,25.476853459577637,0.09575404,6.491238193787703,0.14951135,43.41636,38.6018,20.990047171240516,0.17187981,-32.39624750027973,0.11811411,-0.21182387,0.052001227,0.020291802,0.30806658,-0.36129463,0.25033754,-0.4624811,0.16528766,0.27670783,-0.22384235,247,247,240,7,90.93785,31378.441,1.0046544,1057.1262,31,false,1.5463138,,,,,,,,28,17,0.24496096,28,11,1,0.07172222,175.75464,0,0,7.394374,,,,,,,,,false,236,1433821.1300386873,959.61884,1494.157,10.296129,27,756681.0085038407,1195.5565,632.91113,10.64126,27,972425.7079124185,917.61206,1059.7351,9.7782545,1.2059431,0,0,0,0,0,0.86300564,0.34513092,0.5178747,22.770273,0.38252315,1,11,2,9,72.12371,0.71310127,0.14631198,513.91736,3.176918,5500.0,4.5,0.0,444,12.345242,5.356471,8,9.597839,0.023245905,8,,NOT_AVAILABLE,180.76639400362322,-5.243435225868896,82.67768301240706,2.243474796794566,false,false,0,true,true,false,false,false,false,true,false,1.160294E-13,5.7956103E-13,0.99861324,,,,,,,,,,,,,,,,,,,,,,
3766.6827679086937,155.7956470384556,2.846656063476742,1636148068921376768,Gaia DR3 3417750535378451712,3417750535378451712,151763588,2016.0,81.46548183179355,0.049401104,25.211099004894443,0.034558278,6.4186645712454755,0.050745483,126.48741,26.36303,3.814005385635298,0.062255967,-26.08567943545455,0.042861126,-0.23981047,0.17942119,-0.16087957,0.47096923,-0.21593846,0.39699283,-0.4058831,0.21549965,0.17266563,-0.22975746,255,0,255,0,-2.5355413,224.96869,0.0,0.0,31,false,1.2234572,,,,,,,,29,16,0.090793565,29,11,0,0.043799683,176.34018,1,0,0.8874963,0.1791262,0.3920273,0.2782387,0.47257128,-88.79061,3.3243,-37.16666,41.675953,false,255,6964.300985235561,8.792797,792.04614,16.080173,27,921.0006238368874,21.777582,42.291225,17.927893,29,10069.712655984378,61.020912,165.02069,14.740353,1.5781503,0,19,0,20,0,3.18754,1.8477192,1.3398209,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,180.77602937050975,-5.710161179055124,82.27893922608496,2.0002738390402084,false,false,0,true,false,false,true,false,false,true,false,1.0246188E-13,8.41145E-13,0.9999564,3283.2036,3276.331,3298.2375,4.5677,4.544,4.5989,0.2175,0.1949,0.2953,154.6876,152.4778,158.2307,1.2432,1.1739,1.2626,0.7595,0.7175,0.7713,0.5427,0.5173,0.5504,MARCS
